 0  1  2  3  4  5  6  7  8 
Эталон 450 93.6 79.65 77.85 75.6 73.8 72 69.75 67.95
0 733.369 739.264 744.93 750.35 755.517 760.422 765.065 769.445 773.566 
0.01 363.248 216.326 121.859 70.9191 44.761 31.0051 23.3913 18.9407 16.2102 
0.02 391.901 204.938 112.759 74.1582 56.1504 46.0981 39.5465 34.8232 31.2253 
0.03 434.883 142.546 71.5151 58.5582 58.6706 62.4956 67.4857 72.8016 78.1155 
0.04 440.689 131.712 67.0765 57.3776 59.0962 63.8458 69.4209 75.1183 80.6739 
0.05 431.676 143.839 68.24 52.0078 51.6037 57.0023 64.8116 73.3617 81.6895 
0.06 440.195 134.998 65.1929 52.2278 53.446 59.7799 68.1822 77.1409 85.7801 
0.07 440.894 130.739 66.6242 56.0083 57.3566 62.3821 68.6568 75.2585 81.7794 
0.08 445.084 117.712 67.0209 61.9993 64.7453 68.632 72.1503 74.9817 77.1304 
0.09 442.672 125.448 67.0822 60.521 64.2908 69.3548 72.8909 74.2018 73.4739 
0.1 442.295 121.609 66.4454 60.8372 64.8124 69.7593 73.0431 74.0789 73.132 
0.11 446.646 117.238 70.5014 65.2138 66.7081 69.3186 71.8099 73.8603 75.3807 
0.12 444.603 121.142 68.9343 62.2675 64.3419 68.101 71.5728 74.1275 75.6014 
0.13 446.598 116.523 70.6172 65.4578 67.0569 69.653 71.9038 73.492 74.4019 
0.14 448.222 110.474 70.5673 68.966 72.0168 74.1229 74.2801 72.6129 69.5569 
0.15 448.225 109.909 70.4209 68.6279 71.4656 73.5724 73.9917 72.8183 70.4433 
0.16 448.263 110.18 70.4502 69.1018 72.4229 74.5584 74.4386 72.2933 68.7023 
0.17 448.078 109.242 71.4005 69.2066 71.2873 72.9186 73.3811 72.7696 71.3475 
0.18 449.465 108.658 71.4394 69.9401 72.4598 74.1246 74.189 72.8245 70.4283 
0.19 448.031 108.564 71.8099 69.4357 71.1732 72.5767 72.9503 72.3397 70.9557 
0.2 447.103 112.624 66.8637 62.8224 66.1403 70.2094 73.4534 75.7024 77.1617 
0.21 448.427 106.029 71.7512 70.9049 73.2309 74.3307 73.7123 71.6708 68.6401 
0.22 448.792 109.199 71.3005 68.9961 70.7818 72.3573 73.2647 73.6656 73.7606 
0.23 446.956 105.279 70.7213 70.0513 72.8005 74.197 73.5814 71.302 67.9413 
0.24 449.238 104.108 71.7636 72.1941 75.0884 75.9873 74.5362 71.2825 66.9173 
0.25 448.646 103.44 71.7607 71.9276 74.33 74.9216 73.613 71.0185 67.7428 
0.26 449.739 102.739 71.6463 73.1565 76.4667 77.0748 74.934 70.9516 66.0613 
0.27 449.418 103.08 71.8373 72.3735 75.2662 76.1626 74.6409 71.2186 66.6205 
0.28 447.232 104.326 69.0282 70.8923 75.8055 77.3798 75.1627 70.3027 64.0635 
0.29 449.68 102.966 72.7278 73.0977 75.4204 75.8162 74.1563 71.0279 67.0653 
